HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Under_05,Over_15,Under_15,Over_25,Under_25,Over_35,Under_35,Over_45,Under_45,Over_55,Under_55,Over_65,Under_65,HandiCap_min3_W,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_plus3_W,HandiCap_min3_D,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_plus3_D,HandiCap_min3_L,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L,HandiCap_plus3_Ls,p,a,i,n,-,b,r,a,z,i,l,-,v,c,A,M,V,e,7,C,26 Mar 2024,2.45,3.40,2.83,1.78,2.01,1.06,1.33,2.03,3.55,6.89,14.20,34.00,9.36,3.34,1.81,1.30,1.10,1.03,1.01,-,11.90,4.94,1.41,1.12,-,-,6.93,3.94,4.26,8.50,-,-,1.17,1.54,6.22,17.00,-
spain-brazil-vcAMVe7C,26 Mar 2024,2.45,3.40,2.83,1.78,2.01,1.06,1.33,2.03,3.55,6.89,14.20,34.00,9.36,3.34,1.81,1.30,1.10,1.03,1.01,-,11.90,4.94,1.41,1.12,-,-,6.93,3.94,4.26,8.50,-,-,1.17,1.54,6.22,17.00,-
egypt-croatia-EHDONFj1,26 Mar 2024,3.47,3.23,2.16,1.93,1.84,1.08,1.41,2.24,4.08,8.37,15.67,41.00,7.99,2.93,1.66,1.23,1.07,1.02,1.00,,23.00,8.12,1.64,1.18,,,9.50,4.79,3.61,6.27,,,1.09,1.30,4.44,10.26,
france-chile-xrkBqjPh,26 Mar 2024,1.29,5.73,9.83,1.97,1.80,1.02,1.18,1.58,2.44,4.25,7.80,15.50,13.82,4.82,2.40,1.56,1.22,1.08,1.03,5.66,3.00,1.78,-,,,5.46,4.07,3.77,-,,,1.35,1.95,3.75,-,,
austria-turkey-WbyzKNkM,26 Mar 2024,2.05,3.45,3.65,1.82,1.97,1.06,1.32,2.02,3.51,6.79,13.85,29.00,9.57,3.39,1.83,1.30,1.10,1.03,1.01,23.00,8.53,3.89,1.28,-,,11.00,6.03,3.61,5.00,-,,1.07,1.23,1.75,8.37,-,
england-belgium-jHcQ4IjL,26 Mar 2024,1.69,3.88,5.01,1.84,1.94,1.05,1.27,1.87,3.15,5.86,12.23,26.00,10.72,3.73,1.98,1.36,1.13,1.04,1.01,12.80,5.70,2.83,1.17,-,,7.83,5.00,3.59,6.20,-,,1.12,1.39,2.15,12.10,-,
germany-netherlands-6m8oUJj1,26 Mar 2024,1.84,3.87,3.97,1.62,2.26,1.03,1.21,1.67,2.69,4.84,9.16,18.60,13.11,4.34,2.19,1.47,1.18,1.06,1.02,15.00,6.40,3.20,1.25,-,-,9.25,5.58,3.83,5.74,-,-,1.12,1.32,1.92,8.37,-,-
ireland-switzerland-OMuEDTEK,26 Mar 2024,3.25,3.15,2.33,1.98,1.80,1.08,1.44,2.35,4.40,9.02,18.60,50.50,7.69,2.81,1.61,1.21,1.06,1.02,1.00,,22.00,7.91,1.59,1.15,-,,9.25,4.75,3.80,6.98,-,,1.09,1.32,4.96,11.40,-
scotland-northern-ireland-QyilVaye,26 Mar 2024,1.64,3.60,5.91,2.22,1.64,1.08,1.42,2.29,4.20,8.66,17.60,41.00,7.81,2.85,1.64,1.22,1.07,1.02,1.00,15.00,6.21,2.90,1.14,-,,8.50,4.64,3.31,7.25,-,,1.12,1.37,2.27,18.50,-,
slovenia-portugal-I3aI6vM8,26 Mar 2024,8.00,4.53,1.40,2.02,1.76,1.05,1.25,1.83,3.02,5.55,12.35,26.00,10.42,3.84,2.02,1.38,1.14,1.04,1.01,,-,-,2.85,1.70,1.25,,-,-,3.75,4.35,6.50,,-,-,2.13,3.95,8.50
romania-colombia-2JqJN5jc,26 Mar 2024,6.37,3.90,1.56,2.07,1.73,1.06,1.32,2.02,3.46,6.72,14.30,31.50,9.40,3.36,1.82,1.30,1.10,1.03,1.01,,-,19.50,2.32,1.44,1.14,,-,7.75,3.33,4.73,7.35,,-,1.12,2.61,5.26,12.00
