HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
portugal-france-4QdyLF2I,10 Jul 2016,4.28,3.06,2.16,2.20,1.63,1.12,1.58,2.79,5.28,10.84,6.10,2.36,1.45,1.17,1.05,34.28,10.46,1.70,1.17,12.24,5.30,3.51,6.15,1.03,1.19,4.08,10.34
germany-france-27NNMMKF,07 Jul 2016,2.99,2.98,2.81,1.82,1.91,1.09,1.41,2.32,4.26,9.03,7.51,2.87,1.63,1.22,1.06,16.20,6.21,1.42,1.11,8.39,4.32,4.13,7.90,1.09,1.36,5.57,14.28
portugal-wales-AZHbbruG,06 Jul 2016,2.17,3.10,4.13,2.02,1.75,1.10,1.46,2.50,4.60,9.83,6.87,2.70,1.55,1.19,1.05,9.50,4.00,1.21,1.04,6.00,3.58,5.55,11.25,1.19,1.71,9.25,22.50
france-iceland-Wzeuc7eA,03 Jul 2016,1.42,4.85,8.51,2.04,1.72,1.04,1.26,1.87,3.08,5.80,11.73,3.75,1.97,1.37,1.13,3.72,2.07,1.07,,4.19,3.48,9.41,,1.63,2.84,18.95,
germany-italy-WnVSMMkl,02 Jul 2016,2.28,3.02,3.87,1.97,1.78,1.10,1.46,2.47,4.72,10.05,6.70,2.71,1.56,1.19,1.05,10.78,4.41,1.23,1.05,6.53,3.72,5.11,10.99,1.16,1.60,8.68,25.81
wales-belgium-IuLZxhKQ,01 Jul 2016,4.92,3.32,1.91,2.02,1.74,1.09,1.41,2.36,4.37,9.17,7.57,2.85,1.61,1.21,1.06,37.44,11.61,1.86,1.25,13.78,5.93,3.45,5.43,1.02,1.16,3.40,7.53
poland-portugal-4YWJwUsP,30 Jun 2016,3.74,2.90,2.40,2.21,1.62,1.13,1.60,2.91,5.82,12.98,5.81,2.34,1.42,1.14,1.03,28.56,8.93,1.55,1.13,11.05,4.80,3.65,6.98,1.04,1.23,4.89,12.87
england-iceland-zo7Bu7cE,27 Jun 2016,1.46,4.23,9.17,2.36,1.55,1.07,1.38,2.19,3.90,7.94,8.69,3.01,1.70,1.25,1.08,4.38,2.25,1.06,,4.18,3.27,9.00,,1.52,2.64,21.03,
italy-spain-rVj5R6yF,27 Jun 2016,4.56,2.91,2.14,2.34,1.58,1.15,1.68,3.14,6.27,14.11,5.17,2.18,1.38,1.12,1.02,40.91,11.53,1.69,1.17,13.46,5.40,3.38,6.08,1.02,1.17,4.25,10.62
hungary-belgium-M9kR40Kk,26 Jun 2016,7.04,3.62,1.64,2.17,1.65,1.09,1.41,2.33,4.23,8.99,7.43,2.90,1.63,1.22,1.06,29.85,16.52,2.25,1.36,7.97,6.87,3.30,4.64,1.01,1.10,2.68,5.59
germany-slovakia-d0eKwoSQ,26 Jun 2016,1.43,4.20,10.95,2.44,1.53,1.08,1.37,2.20,3.95,8.21,7.83,3.04,1.70,1.24,1.07,4.23,2.20,1.05,,4.13,3.24,8.74,,1.54,2.82,23.23,
france-ireland-GWlV3KZe,26 Jun 2016,1.54,3.73,9.02,2.70,1.43,1.11,1.54,2.78,5.54,12.12,6.67,2.45,1.47,1.15,1.04,5.36,2.53,1.07,,4.36,3.11,8.47,,1.41,2.45,21.57,
croatia-portugal-I9dGvRCK,25 Jun 2016,2.85,3.00,2.90,2.05,1.73,1.11,1.50,2.65,4.84,10.31,6.50,2.57,1.50,1.18,1.05,16.59,5.99,1.38,1.08,7.99,4.07,4.19,8.30,1.09,1.40,6.21,16.87
wales-northern-ireland-86oN5t5q,25 Jun 2016,2.03,2.95,5.08,2.57,1.47,1.15,1.69,3.29,6.65,15.07,5.17,2.16,1.36,1.11,1.02,9.96,3.99,1.15,1.02,5.75,3.28,5.84,14.93,1.18,1.75,13.11,48.00
switzerland-poland-l8i1SnM8,25 Jun 2016,3.04,2.86,2.86,2.33,1.56,1.14,1.66,3.10,6.26,14.04,5.42,2.21,1.39,1.12,1.02,20.02,6.65,1.41,1.09,8.71,4.12,3.98,8.05,1.07,1.36,6.29,17.28
italy-ireland-6w5UGEO1,22 Jun 2016,2.31,3.12,3.64,2.33,1.55,1.13,1.62,2.94,5.98,13.59,5.78,2.30,1.41,1.13,1.03,12.34,4.72,1.26,1.05,6.59,3.58,4.70,10.01,1.13,1.58,8.14,25.14
sweden-belgium-ID8YFYw8,22 Jun 2016,4.92,3.35,1.91,1.96,1.78,1.08,1.39,2.25,4.11,8.77,8.11,2.91,1.66,1.23,1.07,36.99,11.50,1.87,1.25,14.06,6.03,3.46,5.38,1.02,1.15,3.34,7.27
