HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
scotland-finland-6RYKpR2C,07 Cze 2024,1.54,3.96,6.33,2.21,1.61,1.06,1.36,2.10,3.80,7.43,8.79,2.98,1.69,1.24,1.08,5.33,2.62,1.14,1.01,4.63,3.47,7.03,12.50,1.47,2.40,18.25,49.00
slovenia-bulgaria-IykaFAz7,08 Jun 2024,1.54,3.77,6.51,2.15,1.64,1.06,1.34,2.06,3.63,6.98,8.81,3.09,1.72,1.26,1.08,5.23,2.60,1.13,1.01,4.63,3.58,7.23,12.00,1.47,2.36,18.50,46.00
switzerland-austria-APxYJhhM,08 Jun 2024,1.99,3.45,3.74,1.72,2.05,1.05,1.27,1.85,3.04,5.62,10.64,3.62,1.91,1.36,1.13,8.53,3.78,1.30,1.06,6.05,4.08,5.33,9.60,1.25,1.74,7.75,22.00
sweden-serbia-lOVH0hH0,08 Jun 2024,2.35,3.39,2.91,1.69,2.08,1.05,1.27,1.86,3.09,5.76,10.94,3.59,1.90,1.35,1.12,10.75,4.55,1.40,1.11,6.70,4.28,4.72,7.90,1.19,1.58,6.00,15.00
hungary-israel-Y75VEy9p,08 Jun 2024,1.55,4.17,5.33,1.86,1.87,1.03,1.24,1.77,2.90,5.37,12.75,3.81,1.99,1.38,1.14,4.70,2.45,1.15,1.03,4.60,3.68,7.05,11.50,1.52,2.44,15.25,34.00
portugal-croatia-Y1Qd7FrU,08 Jun 2024,1.63,4.06,5.10,1.74,2.00,1.04,1.23,1.72,2.75,4.99,12.94,3.98,2.07,1.42,1.16,4.97,2.60,1.17,1.03,4.85,3.85,6.70,11.50,1.47,2.26,12.50,29.50
denmark-norway-Qq3vSENk,08 Jun 2024,2.27,3.38,3.05,1.73,2.02,1.05,1.28,1.91,3.22,6.08,10.60,3.45,1.84,1.32,1.11,10.05,4.28,1.36,1.10,6.45,4.13,4.90,8.20,1.21,1.63,6.75,17.00
belgium-luxembourg-hj9a8eTN,08 Jun 2024,1.08,10.60,23.60,2.41,1.52,1.01,1.08,1.30,1.75,2.66,29.33,7.26,3.37,2.02,1.44,1.74,1.27,1.01,,4.35,5.40,12.50,,3.50,8.40,50.00,
spain-northern-ireland-zFUNmyJa,08 Jun 2024,1.14,8.00,17.80,2.77,1.42,1.01,1.15,1.50,2.28,3.84,19.38,5.00,2.48,1.59,1.24,2.17,1.43,1.02,,3.90,4.32,11.50,,2.72,6.10,47.00,
slovakia-wales-MuY0oRcP,09 Jun 2024,2.20,3.18,3.45,2.12,1.66,1.09,1.48,2.47,4.74,9.54,7.10,2.55,1.51,1.17,1.04,11.63,4.50,1.31,1.07,6.30,3.75,4.83,9.00,1.19,1.67,8.50,24.50
montenegro-georgia-Kl1zC2Xi,09 Jun 2024,2.89,3.20,2.43,1.88,1.85,1.07,1.37,2.14,3.84,7.60,8.46,2.94,1.66,1.24,1.07,17.00,6.45,1.55,1.16,8.00,4.55,4.13,6.93,1.10,1.40,5.03,12.75
italy-bosnia-herzegovina-QXYbI8n6,09 Jun 2024,1.20,6.56,13.05,2.37,1.53,1.02,1.19,1.60,2.50,4.31,15.94,4.42,2.25,1.50,1.20,2.65,1.64,1.03,-,3.93,3.98,10.50,-,2.20,4.38,38.00,-
france-canada-bVppWEal,09 Jun 2024,1.19,6.86,11.90,1.86,1.87,1.01,1.09,1.34,1.87,2.91,26.50,6.66,3.11,1.88,1.38,2.30,1.53,1.04,-,4.25,4.60,10.50,-,2.40,4.45,28.00,-
czech-republic-north-macedonia-WOrmzdHe,10 Jun 2024,1.33,5.11,8.58,2.11,1.67,1.03,1.23,1.70,2.79,5.00,13.56,3.99,2.09,1.42,1.16,3.38,1.94,1.08,1.01,4.15,3.75,8.82,13.00,1.82,3.28,24.75,55.00
poland-turkey-bwkHfIO6,10 Jun 2024,2.22,3.28,3.39,1.78,1.97,1.06,1.32,2.00,3.44,6.83,9.25,3.33,1.78,1.30,1.10,10.40,4.40,1.33,1.09,6.48,4.13,5.10,9.73,1.21,1.64,7.78,21.75
netherlands-iceland-GS8oEW2Q,10 Jun 2024,1.19,6.74,13.60,2.19,1.62,1.01,1.15,1.51,2.25,3.84,18.38,4.96,2.47,1.60,1.24,2.61,1.64,1.04,1.01,4.05,4.10,10.50,13.50,2.19,4.18,31.00,55.00
moldova-ukraine-vT2Wv2MQ,11 Jun 2024,6.41,4.07,1.50,1.94,1.79,1.04,1.25,1.81,2.96,5.53,11.44,3.68,1.94,1.37,1.13,40.00,18.75,2.55,1.57,12.00,7.73,3.73,4.50,1.02,1.12,2.33,4.38
portugal-ireland-CGFdTATh,11 Jun 2024,1.21,6.68,12.45,2.09,1.67,1.02,1.15,1.48,2.21,3.67,18.81,5.17,2.53,1.62,1.26,2.51,1.61,1.04,-,4.05,4.20,10.50,-,2.25,4.30,32.00,-
england-iceland-zBCO2Zjo,07 Jun 2024,1.12,9.10,18.95,2.22,1.60,1.01,1.09,1.34,1.87,2.92,27.00,6.69,3.13,1.88,1.38,1.94,1.37,1.02,,4.22,4.95,12.00,,2.97,6.25,43.00,
germany-greece-f3eqDO5s,07 Jun 2024,1.22,6.18,11.50,2.07,1.70,1.02,1.16,1.51,2.27,3.87,17.94,5.07,2.49,1.61,1.24,2.61,1.66,1.05,1.01,3.97,4.08,11.38,13.50,2.18,4.07,32.50,55.00
poland-ukraine-IsIwCJgs,07 Jun 2024,2.45,3.20,3.01,1.88,1.87,1.07,1.38,2.17,3.90,7.81,8.34,2.98,1.67,1.24,1.07,13.75,5.28,1.41,1.12,7.33,4.22,4.55,8.30,1.15,1.53,6.48,17.50
