HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Over_05,Over_15,Over_25,Over_35,Over_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
france-croatia-2kQPzUIB,15 Jul 2018,2.14,3.02,4.25,2.19,1.63,1.13,1.59,2.77,5.76,12.44,6.01,2.41,1.45,1.14,1.03,10.90,4.33,1.24,-,5.67,3.42,4.70,-,1.17,1.69,10.16,-
belgium-england-ttPTZmYH,14 Jul 2018,2.19,3.78,3.22,1.52,2.43,1.03,1.19,1.62,2.53,4.51,14.01,4.70,2.33,1.52,1.20,7.69,3.74,1.34,1.10,5.82,4.06,4.84,7.49,1.22,1.65,5.94,13.17
croatia-england-vw29zXR1,11 Jul 2018,3.88,2.97,2.28,2.12,1.68,1.12,1.58,2.80,5.71,13.33,6.29,2.40,1.45,1.15,1.03,27.86,9.70,1.60,1.15,10.40,4.88,3.61,6.34,1.04,1.24,4.75,12.29
france-belgium-Ikzqgki4,10 Jul 2018,2.58,3.13,3.05,1.75,2.03,1.07,1.34,2.12,3.72,7.51,8.65,3.28,1.75,1.28,1.10,13.00,5.15,1.37,1.10,7.01,4.06,4.47,8.07,1.13,1.49,6.27,15.82
russia-croatia-WEqpywFK,07 Jul 2018,4.08,3.14,2.12,2.08,1.70,1.10,1.48,2.49,4.89,10.39,7.13,2.67,1.55,1.18,1.06,27.93,10.13,1.71,1.19,10.74,5.14,3.53,5.89,1.04,1.22,4.06,10.00
sweden-england-SSuflM65,07 Jul 2018,5.20,3.36,1.84,2.09,1.70,1.09,1.44,2.37,4.47,9.41,7.30,2.79,1.59,1.20,1.06,46.00,13.30,1.94,1.27,17.00,5.98,3.41,5.18,1.01,1.15,3.31,7.59
brazil-belgium-ruhUJyDI,06 Jul 2018,2.11,3.42,3.74,1.64,2.18,1.05,1.26,1.83,3.03,5.83,11.58,3.92,2.01,1.39,1.14,8.27,3.78,1.26,1.07,5.93,3.94,5.20,9.58,1.21,1.71,7.71,19.04
uruguay-france-4v4us1ml,06 Jul 2018,4.68,3.11,2.01,2.20,1.62,1.11,1.54,2.71,5.37,10.80,6.33,2.48,1.46,1.15,1.04,33.54,11.91,1.79,1.21,11.48,5.40,3.41,5.63,1.02,1.19,3.86,9.48
colombia-england-WIa8xROI,03 Jul 2018,4.04,3.12,2.15,2.14,1.67,1.11,1.51,2.60,5.11,10.83,6.93,2.60,1.51,1.17,1.05,29.49,10.15,1.69,1.17,10.76,5.10,3.54,6.00,1.04,1.22,4.15,10.35
sweden-switzerland-Cb0q8fL2,03 Jul 2018,3.35,2.95,2.52,1.98,1.78,1.11,1.49,2.53,4.83,10.34,6.96,2.64,1.53,1.19,1.05,20.04,7.54,1.51,1.13,8.90,4.58,3.87,7.16,1.07,1.30,5.23,13.49
belgium-japan-xd04w79C,02 Jul 2018,1.42,4.66,8.76,1.90,1.85,1.03,1.24,1.75,2.90,5.34,12.57,4.08,2.12,1.42,1.16,4.05,2.18,1.07,,4.26,3.42,9.50,,1.59,2.82,21.00,
croatia-denmark-vquzagAh,01 Jul 2018,1.96,3.22,4.71,2.15,1.66,1.11,1.50,2.55,4.96,11.05,6.91,2.61,1.52,1.18,1.05,9.09,3.78,1.19,1.02,5.55,3.44,5.47,15.00,1.21,1.81,11.60,41.00
spain-russia-CpJqjmbf,01 Jul 2018,1.59,4.09,6.36,1.91,1.84,1.05,1.29,1.93,3.36,6.46,10.75,3.62,1.91,1.33,1.12,4.97,2.53,1.11,-,4.51,3.45,7.16,-,1.44,2.38,15.63,-
uruguay-portugal-bsFuiTrl,30 Jun 2018,3.05,2.97,2.73,2.19,1.64,1.13,1.61,2.89,5.95,12.75,6.20,2.34,1.42,1.14,1.03,19.36,7.01,1.43,1.10,8.18,4.23,4.00,7.66,1.08,1.36,6.10,16.95
france-argentina-dKkVaZfn,30 Jun 2018,2.42,3.11,3.33,1.98,1.78,1.10,1.46,2.43,4.65,10.12,7.39,2.73,1.58,1.20,1.06,12.18,4.81,1.30,1.07,6.56,3.79,4.64,9.11,1.14,1.56,7.71,20.90
england-belgium-QVTybwsd,28 Jun 2018,2.49,2.82,3.59,1.99,1.77,1.12,1.51,2.59,5.06,11.27,6.33,2.60,1.51,1.17,1.05,13.16,4.97,1.32,1.05,6.80,3.79,4.66,9.84,1.13,1.54,7.71,23.95
japan-poland-8hE2oLEm,28 Jun 2018,2.86,3.11,2.75,1.77,2.00,1.07,1.35,2.13,3.80,7.75,8.58,3.24,1.74,1.27,1.09,14.55,6.15,1.46,1.12,7.19,4.46,4.12,7.29,1.10,1.37,5.23,12.99
serbia-brazil-8GnWjMZS,27 Jun 2018,7.54,4.59,1.46,1.75,2.02,1.03,1.20,1.65,2.61,4.70,14.03,4.55,2.26,1.49,1.19,-,19.00,2.68,1.58,-,9.00,3.64,4.34,-,1.08,2.19,4.01
switzerland-costa-rica-APYcntrp,27 Jun 2018,1.59,3.66,7.47,2.13,1.67,1.08,1.41,2.25,4.09,8.47,8.33,2.95,1.66,1.24,1.08,5.50,2.63,1.09,,4.51,3.31,7.56,,1.40,2.34,20.51,
mexico-sweden-4bpg61ZF,27 Jun 2018,2.21,3.36,3.51,1.78,1.99,1.07,1.34,2.08,3.68,7.55,9.12,3.28,1.78,1.28,1.09,9.45,4.07,1.27,1.06,6.07,3.80,4.95,9.23,1.19,1.66,7.75,20.54
south-korea-germany-Q7ok7sK9,27 Jun 2018,18.79,7.99,1.17,2.04,1.73,1.01,1.14,1.45,2.18,3.57,18.20,5.79,2.75,1.70,1.30,,46.00,4.86,2.32,,17.00,4.23,4.07,,1.01,1.49,2.32
iceland-croatia-CUjBepLc,26 Jun 2018,4.39,3.94,1.81,1.93,1.83,1.07,1.35,2.10,3.83,7.85,9.65,3.24,1.76,1.26,1.09,27.72,10.34,1.98,1.30,10.90,5.65,3.53,5.06,1.04,1.19,3.12,6.85
denmark-france-QXUut5LA,26 Jun 2018,5.15,2.83,2.06,1.96,1.79,1.11,1.45,2.45,4.57,9.78,6.68,2.70,1.55,1.20,1.06,51.00,13.85,1.75,1.20,17.00,6.05,3.61,5.84,1.01,1.15,3.85,9.48
iran-portugal-Sx3FPqyU,25 Jun 2018,6.28,4.04,1.59,1.98,1.78,1.06,1.33,2.03,3.61,7.14,9.72,3.38,1.82,1.29,1.10,56.00,15.36,2.30,1.42,20.00,6.88,3.43,4.53,1.01,1.12,2.61,5.31
spain-morocco-UoksL3qo,25 Jun 2018,1.34,5.12,10.49,1.84,1.92,1.03,1.20,1.62,2.53,4.57,13.96,4.62,2.33,1.52,1.20,3.41,1.96,1.05,,4.10,3.57,11.00,,1.75,3.15,26.00,
uruguay-russia-Im3jVm7h,25 Jun 2018,2.81,3.06,2.85,1.90,1.86,1.09,1.43,2.35,4.36,9.38,7.67,2.85,1.62,1.22,1.07,14.37,5.61,1.37,1.09,7.36,4.05,4.37,8.07,1.11,1.44,6.50,16.83
poland-colombia-jHJcn1as,24 Jun 2018,3.50,3.46,2.16,1.92,1.84,1.07,1.37,2.21,4.00,8.26,9.04,3.14,1.70,1.25,1.08,21.30,7.90,1.67,1.18,9.21,4.86,3.75,6.01,1.06,1.28,4.13,9.93
