HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
senegal-algeria-ldN8dwS5,19 Jul 2019,2.81,2.86,2.97,2.19,1.63,1.14,1.60,2.86,5.87,12.18,5.61,2.30,1.41,1.13,1.03,15.18,6.14,1.39,1.08,6.40,3.86,4.11,6.45,1.08,1.37,6.37,15.44
tunisia-nigeria-2aRCecsC,17 Jul 2019,3.30,3.23,2.26,1.84,1.89,1.08,1.38,2.22,4.02,8.42,7.76,2.96,1.66,1.23,1.07,15.93,6.89,1.57,1.16,6.92,4.37,3.85,5.56,1.06,1.29,4.35,9.46
algeria-nigeria-f7DTMs7l,14 Jul 2019,2.60,2.95,3.05,2.13,1.66,1.12,1.56,2.77,5.53,11.06,5.99,2.36,1.43,1.14,1.04,13.59,5.53,1.34,1.07,6.16,3.76,4.00,6.61,1.09,1.46,6.60,16.19
senegal-tunisia-IqoBkDiE,14 Jul 2019,1.88,3.10,4.91,2.22,1.61,1.11,1.52,2.64,5.11,10.98,6.16,2.45,1.46,1.15,1.04,7.92,3.54,1.16,-,4.88,3.35,4.94,-,1.22,1.81,11.50,-
madagascar-tunisia-tA0oXofD,11 Jul 2019,5.43,3.31,1.76,2.28,1.58,1.11,1.50,2.56,4.94,10.55,6.63,2.55,1.50,1.17,1.05,51.00,14.00,2.01,1.27,18.00,5.89,3.33,4.99,1.01,1.13,3.23,7.30
ivory-coast-algeria-t05Dt4zP,11 Jul 2019,3.75,3.00,2.23,2.06,1.70,1.11,1.48,2.56,4.89,10.48,6.62,2.62,1.50,1.17,1.05,22.56,8.56,1.57,1.15,9.34,4.72,3.69,6.26,1.05,1.25,4.56,11.47
nigeria-south-africa-U7nXOO6o,10 Jul 2019,2.14,2.91,4.13,2.29,1.57,1.14,1.60,2.85,6.02,13.08,5.68,2.30,1.41,1.13,1.03,11.28,4.45,1.21,1.04,6.06,3.51,4.89,13.00,1.15,1.65,10.00,35.00
senegal-benin-CWXetjaD,10 Jul 2019,1.36,4.30,11.37,2.75,1.41,1.09,1.41,2.30,4.43,8.92,7.30,2.83,1.61,1.20,1.06,4.09,2.13,1.04,,3.89,3.17,12.00,,1.61,3.02,41.00,
ghana-tunisia-EB6nvgxJ,08 Jul 2019,2.44,2.90,3.34,2.13,1.67,1.12,1.52,2.62,5.07,10.63,6.16,2.50,1.46,1.15,1.04,13.16,5.08,1.27,1.05,6.63,3.74,4.57,8.97,1.13,1.51,8.22,21.95
mali-ivory-coast-GGpV2xFJ,08 Jul 2019,3.15,2.86,2.57,2.26,1.60,1.14,1.62,2.88,5.74,12.10,5.47,2.27,1.40,1.13,1.03,20.09,7.21,1.45,1.10,8.34,4.25,3.82,7.33,1.07,1.32,5.97,16.01
algeria-guinea-f7qZ1dUP,07 Jul 2019,1.61,3.65,6.11,2.26,1.60,1.08,1.41,2.29,4.29,8.49,7.30,2.80,1.61,1.20,1.06,6.00,2.78,1.12,1.01,4.60,3.32,6.31,20.00,1.35,2.25,15.79,61.00
madagascar-dr-congo-082ruZMC,07 Jul 2019,4.02,3.03,2.09,2.25,1.60,1.11,1.53,2.66,5.17,10.99,6.21,2.46,1.45,1.15,1.04,28.65,10.25,1.71,1.17,10.20,5.00,3.49,5.84,1.03,1.21,4.14,10.23
egypt-south-africa-nay1cGxs,06 Jul 2019,1.54,3.75,7.19,2.50,1.51,1.08,1.44,2.39,4.59,9.43,6.99,2.68,1.57,1.18,1.05,5.45,2.56,1.08,,4.35,3.21,8.50,,1.40,2.46,23.00,
nigeria-cameroon-ActWmUhG,06 Jul 2019,2.54,2.75,3.36,2.50,1.51,1.17,1.73,3.30,6.80,14.70,4.84,2.08,1.32,1.10,1.02,16.60,5.86,1.29,1.06,7.28,3.71,4.29,8.72,1.09,1.48,8.26,23.09
uganda-senegal-ruOLoNH5,05 Jul 2019,8.38,3.72,1.50,2.67,1.43,1.11,1.51,2.56,5.07,10.75,6.67,2.52,1.50,1.16,1.05,-,29.00,2.51,1.41,-,9.50,3.09,4.23,-,1.07,2.58,5.55
morocco-benin-6o3vtF76,05 Jul 2019,1.42,3.99,10.13,2.96,1.37,1.11,1.52,2.61,5.22,11.36,6.68,2.50,1.48,1.15,1.04,4.88,2.36,1.04,,4.03,3.05,11.00,,1.49,2.83,41.00,
angola-mali-44kl1D0D,02 Jul 2019,3.63,2.35,2.81,2.55,1.48,1.21,1.81,3.61,7.36,16.76,4.12,1.96,1.28,1.08,1.01,27.64,9.12,1.39,1.07,9.78,4.48,3.96,8.23,1.04,1.26,6.94,20.38
mauritania-tunisia-j1op2go7,02 Jul 2019,10.04,5.04,1.31,2.33,1.57,1.04,1.26,1.84,3.13,5.65,10.22,3.69,1.95,1.34,1.12,,34.00,3.37,1.80,,12.00,3.52,3.83,,1.04,1.88,3.27
benin-cameroon-pMgC5Sia,02 Jul 2019,4.88,2.87,1.98,2.43,1.53,1.14,1.64,2.85,5.88,12.80,5.30,2.22,1.39,1.12,1.02,56.00,13.01,1.76,1.18,18.00,5.43,3.36,5.64,1.01,1.17,4.00,10.19
