HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
argentina-brazil-6sk92gnF,11 Jul 2021,4.02,3.13,2.12,2.13,1.69,1.11,1.52,2.57,4.87,9.96,6.71,2.56,1.52,1.18,1.05,28.00,9.75,1.70,1.18,11.20,5.05,3.43,5.95,1.05,1.23,4.37,10.38
colombia-peru-pYmD1D1L,10 Jul 2021,1.81,3.64,4.64,1.73,2.08,1.05,1.26,1.82,3.02,5.67,10.57,3.93,2.02,1.39,1.14,6.13,2.99,1.19,1.04,5.05,3.58,6.05,12.50,1.34,1.97,10.38,28.50
argentina-colombia-z7fuBM1s,07 Jul 2021,1.87,3.26,5.01,2.25,1.63,,,,,,,,,,,8.28,3.56,1.17,1.03,5.40,3.43,5.84,14.00,1.25,1.88,13.12,39.00
brazil-peru-UkLDzLmQ,06 Jul 2021,1.20,6.72,16.20,2.48,1.53,1.03,1.21,1.68,2.67,4.88,12.27,4.44,2.22,1.48,1.18,2.60,1.59,1.02,-,3.79,3.83,14.67,-,2.19,4.65,45.67,-
argentina-ecuador-zVr2ixZA,04 Jul 2021,1.56,3.79,7.32,2.18,1.66,1.07,1.39,2.19,3.87,7.65,8.38,3.05,1.70,1.26,1.08,5.46,2.64,1.10,1.01,4.63,3.25,7.83,17.33,1.42,2.44,18.10,48.67
uruguay-colombia-S4ufgb4b,04 Jul 2021,2.32,3.04,3.60,2.11,1.71,1.11,1.51,2.58,4.94,10.77,6.69,2.58,1.52,1.17,1.05,11.60,4.80,1.27,1.06,6.62,3.71,4.74,10.27,1.15,1.59,8.72,24.00
brazil-chile-IgY6jdlH,03 Jul 2021,1.30,5.09,12.28,2.45,1.53,1.05,1.30,1.93,3.33,6.25,9.98,3.54,1.90,1.34,1.12,3.44,1.93,1.04,1.01,3.91,3.42,12.03,34.00,1.80,3.48,31.33,67.00
peru-paraguay-MRvbhIJ4,02 Jul 2021,2.95,2.78,2.92,2.34,1.59,1.15,1.68,3.10,6.44,13.62,5.38,2.22,1.38,1.11,1.02,20.67,7.13,1.38,1.09,8.77,4.01,4.02,8.60,1.09,1.39,7.05,20.00
bolivia-argentina-ttqAqIwN,29 Jun 2021,23.42,8.67,1.13,2.45,1.54,1.02,1.12,1.43,2.07,3.35,16.00,6.01,2.87,1.78,1.33,,48.00,6.32,2.89,,17.00,4.62,3.96,,1.02,1.36,1.97
uruguay-paraguay-bHg5pbOG,29 Jun 2021,1.90,3.08,5.32,2.38,1.56,1.11,1.59,2.80,5.51,11.47,6.28,2.39,1.45,1.14,1.03,9.40,3.94,1.14,1.02,5.71,3.13,6.18,14.00,1.23,1.92,14.33,39.00
brazil-ecuador-GE16Ddh3,27 Jun 2021,1.41,4.43,9.13,2.39,1.56,1.06,1.36,2.10,3.72,7.18,8.87,3.16,1.75,1.27,1.09,4.35,2.24,1.05,1.01,4.20,3.29,9.33,21.00,1.60,2.86,23.67,29.00
venezuela-peru-YkdBCG79,27 Jun 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile-paraguay-C0igm0vb,25 Jun 2021,2.50,2.92,3.32,2.13,1.68,1.11,1.54,2.66,5.11,10.35,6.14,2.50,1.50,1.16,1.04,13.33,5.24,1.32,1.05,7.27,3.86,4.70,9.47,1.14,1.52,8.10,22.00
bolivia-uruguay-jijcnKg4,24 Jun 2021,16.03,6.56,1.20,2.47,1.52,1.02,1.20,1.65,2.59,4.56,12.70,4.55,2.27,1.50,1.19,,39.00,4.71,2.26,,13.33,3.97,3.87,,1.02,1.60,2.53
brazil-colombia-ULLBiFVq,24 Jun 2021,1.47,4.25,8.10,2.38,1.56,1.06,1.38,2.19,3.97,7.56,8.42,3.02,1.70,1.25,1.07,4.80,2.38,1.06,1.01,4.22,3.27,8.60,19.00,1.53,2.73,22.67,29.00
ecuador-peru-CpBGjZpj,23 Jun 2021,2.38,3.12,3.30,2.09,1.72,1.10,1.49,2.52,4.78,9.49,6.88,2.63,1.53,1.18,1.05,12.20,5.07,1.33,1.06,6.94,3.77,4.66,9.30,1.15,1.56,7.66,21.33
