HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L,
switzerland-italy-p0tqX2qH,29 Jun 2024,3.22,2.85,2.59,2.07,1.73,1.12,1.50,2.60,4.93,10.38,6.54,2.56,1.50,1.18,1.05,22.75,7.65,1.52,1.15,9.25,4.70,4.10,7.50,1.09,1.36,5.55,15.00
germany-denmark-UmziYSZ0,29 Jun 2024,1.63,3.83,5.74,1.90,1.87,1.05,1.28,1.89,3.18,6.19,10.66,3.66,1.91,1.36,1.13,5.40,2.69,1.15,1.03,4.80,3.70,6.98,14.25,1.46,2.24,14.50,45.00
england-slovakia-QZ9sqLro,30 Jun 2024,1.44,4.20,8.80,2.42,1.54,1.08,1.37,2.14,3.86,7.70,8.71,3.07,1.71,1.26,1.09,4.30,2.24,1.08,1.01,4.22,3.50,9.20,21.25,1.63,2.82,29.00,105.00
spain-georgia-YyV2j3jB,30 Jun 2024,1.20,6.81,14.80,2.43,1.54,1.02,1.20,1.62,2.55,4.49,16.25,4.58,2.30,1.52,1.20,2.60,1.62,1.04,-,3.90,4.03,12.25,-,2.26,4.47,41.00,-
france-belgium-K4DPGJgf,01 Jul 2024,1.99,3.27,4.25,1.82,1.96,1.07,1.32,2.01,3.45,6.96,9.19,3.39,1.80,1.31,1.10,7.20,3.35,1.21,1.05,5.58,3.90,6.18,12.00,1.32,1.88,11.25,32.50
portugal-slovenia-6kTAlsLN,01 Jul 2024,1.37,4.99,8.88,2.06,1.74,1.03,1.23,1.72,2.81,5.10,13.75,4.15,2.12,1.44,1.17,3.45,1.98,1.08,1.01,4.15,3.80,9.90,22.00,1.80,3.15,26.00,87.50
romania-netherlands-xOGS6Ozh,02 Jul 2024,8.02,4.54,1.43,2.09,1.72,1.04,1.26,1.84,3.07,5.87,12.38,3.84,1.98,1.38,1.14,78.00,22.50,2.83,1.67,19.25,8.82,3.65,4.30,1.01,1.09,2.17,3.97
austria-turkey-xAyfhPLb,02 Jul 2024,1.96,3.35,4.25,1.69,2.14,1.05,1.25,1.84,2.98,5.67,10.70,3.93,1.97,1.40,1.14,7.05,3.38,1.23,1.06,5.73,4.10,6.15,11.75,1.31,1.84,9.95,27.50
spain-germany-rm0QrnRk,05 Jul 2024,2.65,3.24,2.77,1.76,2.02,1.06,1.32,2.00,3.43,6.72,9.51,3.35,1.79,1.31,1.10,13.50,5.38,1.44,1.13,7.40,4.35,4.45,7.70,1.15,1.48,5.65,14.50
england-switzerland-0dMzsHxJ,06 Jul 2024,2.19,3.09,3.76,2.12,1.68,1.10,1.49,2.54,4.89,10.10,6.95,2.58,1.51,1.18,1.05,11.25,4.35,1.27,1.06,6.13,3.70,5.00,10.30,1.20,1.68,9.25,29.25
portugal-france-xf5z0D9j,05 Jul 2024,3.24,3.11,2.38,2.06,1.73,1.10,1.47,2.46,4.76,9.88,7.20,2.64,1.54,1.18,1.05,22.75,7.60,1.58,1.17,9.05,4.60,3.83,6.75,1.08,1.35,4.90,13.00
