HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
germany-scotland-Q9YPy46c,14 Jun 2024,1.29,5.84,10.66,2.29,1.61,1.04,1.23,1.72,2.79,5.10,13.14,4.24,2.16,1.45,1.16,3.08,1.79,1.06,1.01,3.92,3.76,10.77,18.65,1.96,3.66,32.97,85.20
hungary-switzerland-KWXTzOL3,15 Jun 2024,3.44,3.24,2.26,1.92,1.86,1.08,1.40,2.23,4.13,8.58,8.31,3.00,1.68,1.24,1.08,22.89,8.21,1.64,1.19,10.01,4.82,3.73,6.45,1.08,1.31,4.58,10.98
spain-croatia-QXGCSaTq,15 Jun 2024,1.90,3.51,4.36,1.93,1.85,1.07,1.36,2.11,3.82,7.77,9.07,3.21,1.75,1.27,1.09,7.70,3.49,1.22,1.05,5.44,3.54,5.71,12.49,1.29,1.89,10.84,33.97
italy-albania-8d6HRJrj,15 Jun 2024,1.40,4.65,8.84,2.40,1.56,1.05,1.34,2.04,3.64,7.25,9.91,3.34,1.81,1.29,1.10,4.17,2.16,1.08,1.01,4.06,3.40,9.21,16.97,1.65,2.97,27.16,75.40
poland-netherlands-vwtfSsT6,16 Jun 2024,5.23,3.97,1.67,1.90,1.88,1.05,1.30,1.90,3.28,6.25,10.64,3.64,1.90,1.35,1.12,37.75,12.95,2.19,1.41,13.87,6.47,3.50,4.78,1.03,1.17,2.80,5.77
slovenia-denmark-rZpKouzM,16 Jun 2024,5.14,3.60,1.76,2.05,1.74,1.07,1.38,2.19,4.00,8.17,8.73,3.08,1.70,1.25,1.08,40.16,13.30,2.06,1.34,13.98,6.28,3.42,5.05,1.03,1.17,3.13,6.86
serbia-england-lCoGnLKF,16 Jun 2024,7.20,4.56,1.46,2.02,1.76,1.04,1.27,1.85,3.09,5.90,11.04,3.80,1.99,1.38,1.14,53.47,19.56,2.69,1.60,15.75,8.35,3.52,4.25,1.02,1.11,2.26,4.31
romania-ukraine-GMyM2U3Q,17 Jun 2024,3.84,3.45,2.03,1.95,1.83,1.07,1.38,2.19,3.99,8.05,8.85,3.07,1.70,1.25,1.08,27.45,9.22,1.77,1.23,11.04,5.21,3.56,5.78,1.06,1.26,3.94,9.21
belgium-slovakia-dxBg0vkF,17 Jun 2024,1.47,4.57,6.85,1.91,1.87,1.04,1.24,1.75,2.86,5.26,12.70,4.15,2.10,1.43,1.16,4.24,2.26,1.12,1.02,4.47,3.55,8.23,16.02,1.60,2.70,18.17,52.70
austria-france-n7T2wHs2,17 Jun 2024,6.16,4.54,1.51,1.82,1.97,1.03,1.22,1.68,2.70,4.86,13.62,4.42,2.22,1.47,1.18,45.93,16.51,2.54,1.57,15.43,8.01,3.65,4.34,1.03,1.12,2.30,4.32
turkey-georgia-GUFZKHkT,18 Jun 2024,1.79,3.59,4.87,2.09,1.73,1.08,1.40,2.22,4.09,8.31,8.61,2.98,1.68,1.24,1.08,7.25,3.24,1.18,1.03,5.07,3.43,6.03,13.58,1.32,2.03,12.77,37.73
portugal-czech-republic-fDjUgxSr,18 Jun 2024,1.54,4.31,6.24,1.91,1.87,1.04,1.26,1.81,3.02,5.71,11.81,3.93,2.01,1.39,1.14,4.74,2.43,1.13,1.03,4.46,3.55,7.66,15.35,1.52,2.49,16.65,49.70
croatia-albania-nm5LQwbd,19 Jun 2024,1.53,4.14,6.59,2.14,1.68,1.05,1.33,2.03,3.63,7.21,10.02,3.35,1.81,1.30,1.10,4.99,2.48,1.13,1.02,4.35,3.49,7.81,15.90,1.50,2.46,19.73,58.00
germany-hungary-GbRxZ1jG,19 Jun 2024,1.34,5.20,9.21,2.15,1.68,1.04,1.25,1.76,2.93,5.51,12.52,4.08,2.04,1.41,1.15,3.49,1.95,1.08,1.01,3.97,3.63,9.90,17.82,1.79,3.20,27.86,71.30
scotland-switzerland-bNWXZsyA,19 Jun 2024,3.64,3.46,2.07,1.82,1.96,1.06,1.33,2.04,3.59,7.21,9.88,3.36,1.81,1.30,1.10,24.31,8.29,1.75,1.23,10.36,5.17,3.63,6.28,1.08,1.30,4.04,9.22
slovenia-serbia-2JRjtJcq,20 Jun 2024,4.09,3.50,1.94,1.86,1.90,1.06,1.34,2.05,3.67,7.28,9.73,3.33,1.80,1.29,1.09,30.09,9.96,1.86,1.27,11.66,5.52,3.58,5.52,1.06,1.24,3.59,7.98
denmark-england-MPqOpakS,20 Jun 2024,5.56,3.91,1.64,1.97,1.79,1.05,1.32,2.00,3.48,6.82,10.23,3.46,1.84,1.31,1.11,47.85,14.92,2.24,1.42,14.68,6.50,3.47,4.62,1.03,1.15,2.73,5.59
spain-italy-Egg3kNzc,20 Jun 2024,2.30,3.33,3.23,1.82,1.95,1.07,1.34,2.08,3.72,7.44,9.44,3.28,1.77,1.29,1.09,10.93,4.66,1.35,1.10,6.43,3.87,4.70,9.53,1.18,1.61,7.15,21.04
slovakia-ukraine-hrTmblCs,21 Jun 2024,3.77,3.38,2.07,1.92,1.85,1.06,1.37,2.18,3.99,8.07,8.92,3.10,1.69,1.25,1.08,28.79,9.26,1.76,1.23,11.06,4.99,3.65,5.76,1.07,1.28,3.98,9.21
poland-austria-YaubR1rD,21 Jun 2024,3.52,3.47,2.12,1.72,2.08,1.05,1.28,1.91,3.22,6.25,10.65,3.68,1.93,1.35,1.13,21.48,7.73,1.70,1.23,10.03,5.07,3.80,6.08,1.09,1.31,4.04,9.03
netherlands-france-lC7o20K2,21 Jun 2024,4.15,3.58,1.91,1.75,2.04,1.05,1.28,1.89,3.19,6.19,10.94,3.73,1.95,1.36,1.13,29.18,9.67,1.88,1.28,11.80,5.72,3.60,5.83,1.06,1.24,3.45,7.26
georgia-czech-republic-MBh2Gybp,22 Jun 2024,4.52,3.63,1.82,1.90,1.87,1.06,1.33,2.03,3.61,7.09,9.96,3.36,1.81,1.30,1.10,36.36,11.12,1.97,1.31,12.86,5.82,3.52,5.19,1.05,1.21,3.24,7.04
turkey-portugal-lzjYhdsk,22 Jun 2024,5.56,4.17,1.60,1.87,1.90,1.04,1.26,1.83,3.09,5.82,11.78,3.88,2.01,1.38,1.14,42.78,13.81,2.32,1.46,14.41,6.74,3.50,4.57,1.03,1.16,2.59,5.14
belgium-romania-zT9cab4L,22 Jun 2024,1.50,4.47,6.38,1.93,1.84,1.04,1.25,1.79,2.99,5.65,11.99,4.00,2.04,1.40,1.15,4.49,2.33,1.13,1.02,4.33,3.58,8.14,15.94,1.56,2.55,19.06,53.40
scotland-hungary-lCPpXuLS,23 Jun 2024,2.80,3.59,2.40,1.73,2.09,1.01,1.27,1.92,3.15,5.75,9.30,3.40,1.92,1.31,1.09,,,,,,,,,,,,
switzerland-germany-fkQtYL5M,23 Jun 2024,4.27,3.94,1.77,1.79,1.99,1.03,1.26,1.83,3.03,5.64,10.53,3.74,1.99,1.37,1.13,30.90,10.86,2.07,1.38,12.12,6.16,3.82,5.40,1.06,1.24,3.07,6.65
albania-spain-hph7lsj3,24 Jun 2024,9.88,5.10,1.32,2.25,1.63,1.03,1.24,1.78,2.91,5.33,10.95,3.89,2.05,1.40,1.14,80.50,32.36,3.44,1.87,18.32,10.50,3.80,4.21,1.01,1.07,1.94,3.47
croatia-italy-z9sCm159,24 Jun 2024,3.74,3.63,1.96,1.84,1.93,1.05,1.31,1.99,3.43,6.58,9.29,3.33,1.83,1.30,1.10,27.12,9.46,1.86,1.29,10.98,5.59,3.87,5.93,1.07,1.29,3.64,8.50
france-poland-Cjv2QLcJ,25 Jun 2024,1.38,4.94,7.96,1.96,1.84,1.02,1.21,1.69,2.66,4.65,12.85,4.15,2.20,1.46,1.17,,,,,,,,,,,,
netherlands-austria-S26k1KZ8,25 Jun 2024,2.12,3.68,3.23,1.64,2.25,1.02,1.23,1.75,2.76,4.93,12.65,3.96,2.12,1.42,1.15,,,,,,,,,,,,
denmark-serbia-zXPbvcSe,25 Jun 2024,2.38,3.40,2.97,1.75,2.01,1.02,1.29,1.99,3.30,6.15,8.90,3.28,1.86,1.29,1.07,,,,,,,,,,,,
england-slovenia-tAQfuwDk,25 Jun 2024,1.35,5.03,8.68,2.07,1.71,1.01,1.21,1.69,2.70,4.80,12.65,3.94,2.09,1.40,1.14,,,,,,,,,,,,
slovakia-romania-Iia2bIJR,26 Jun 2024,2.72,3.15,2.72,1.89,1.89,1.04,1.36,2.21,3.82,7.40,7.70,2.88,1.70,1.22,1.04,,,,,,,,,,,,
ukraine-belgium-z7Ihc8Rm,26 Jun 2024,4.38,3.83,1.78,1.78,2.04,1.00,1.23,1.81,2.85,5.15,10.20,3.74,2.05,1.37,1.11,,,,,,,,,,,,
czech-republic-turkey-SQlxhGde,26 Jun 2024,3.01,3.30,2.40,1.78,2.05,1.02,1.29,1.99,3.30,6.15,8.90,3.28,1.86,1.29,1.07,,,,,,,,,,,,
georgia-portugal-02i6FeDj,26 Jun 2024,10.10,5.93,1.28,2.01,1.81,1.02,1.19,1.63,2.50,4.30,13.90,4.47,2.32,1.50,1.19,,,,,,,,,,,,
