HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
germany-scotland-Q9YPy46c,14 Jun 2024,1.30,5.68,10.22,2.18,1.65,1.03,1.22,1.68,2.70,4.80,14.50,4.30,2.19,1.47,1.18,3.10,1.83,1.07,1.00,4.00,3.78,10.20,13.00,1.94,3.63,29.50,55.00
hungary-switzerland-KWXTzOL3,15 Jun 2024,3.34,3.31,2.25,1.91,1.85,1.07,1.38,2.17,3.91,7.81,8.47,3.00,1.68,1.25,1.08,22.75,7.60,1.65,1.20,9.65,4.97,4.03,6.53,1.08,1.33,4.32,10.75
spain-croatia-QXGCSaTq,15 Jun 2024,1.91,3.45,4.29,1.90,1.86,1.07,1.34,2.06,3.64,7.19,9.06,3.21,1.75,1.28,1.09,7.45,3.38,1.23,1.05,5.58,3.78,5.90,12.00,1.30,1.90,10.75,32.75
italy-albania-8d6HRJrj,15 Jun 2024,1.40,4.60,8.71,2.44,1.52,1.06,1.35,2.07,3.71,7.32,9.41,3.17,1.75,1.27,1.09,4.18,2.15,1.08,1.01,4.15,3.48,8.98,20.75,1.65,2.95,27.00,100.00
poland-netherlands-vwtfSsT6,16 Jun 2024,5.91,4.06,1.59,2.02,1.75,1.06,1.32,1.97,3.44,6.87,9.96,3.38,1.83,1.31,1.10,49.50,15.25,2.32,1.47,15.00,7.10,3.58,4.72,1.02,1.15,2.61,5.35
slovenia-denmark-rZpKouzM,16 Jun 2024,5.08,3.55,1.76,2.04,1.73,1.08,1.38,2.16,3.89,7.78,8.47,3.00,1.68,1.25,1.08,45.50,13.50,2.06,1.36,13.50,6.48,3.60,5.13,1.03,1.17,3.03,6.60
serbia-england-lCoGnLKF,16 Jun 2024,6.77,4.52,1.47,2.04,1.73,1.04,1.28,1.86,3.15,5.93,11.50,3.64,1.92,1.35,1.13,59.50,18.25,2.68,1.60,16.75,7.90,3.58,4.43,1.01,1.12,2.29,4.43
romania-ukraine-GMyM2U3Q,17 Jun 2024,3.74,3.39,2.06,1.98,1.79,1.08,1.40,2.21,4.00,8.00,8.44,2.94,1.66,1.24,1.08,29.25,9.38,1.78,1.25,10.95,5.25,3.75,5.90,1.06,1.27,3.83,9.15
belgium-slovakia-dxBg0vkF,17 Jun 2024,1.49,4.48,6.51,1.91,1.85,1.04,1.24,1.73,2.82,5.08,13.13,4.03,2.09,1.42,1.17,4.22,2.26,1.12,1.02,4.47,3.75,8.00,16.75,1.60,2.64,16.75,54.50
austria-france-n7T2wHs2,17 Jun 2024,6.20,4.61,1.50,1.80,1.96,1.03,1.21,1.66,2.65,4.77,14.50,4.36,2.20,1.47,1.18,46.00,15.25,2.57,1.59,15.00,7.75,3.85,4.58,1.02,1.13,2.27,4.22
turkey-georgia-GUFZKHkT,18 Jun 2024,1.76,3.62,4.89,2.05,1.72,1.07,1.38,2.17,3.94,7.90,8.55,2.96,1.67,1.24,1.07,6.85,3.10,1.19,1.03,5.13,3.58,6.25,13.50,1.35,2.05,13.00,42.50
portugal-czech-republic-fDjUgxSr,18 Jun 2024,1.55,4.26,6.07,1.92,1.82,1.03,1.26,1.82,3.00,5.66,12.50,3.74,1.96,1.38,1.13,4.72,2.41,1.13,1.02,4.63,3.70,7.55,15.50,1.52,2.47,16.00,52.00
croatia-albania-nm5LQwbd,19 Jun 2024,1.54,4.07,6.38,2.19,1.63,1.06,1.35,2.08,3.70,7.12,9.20,3.09,1.73,1.26,1.09,5.10,2.50,1.13,1.01,4.53,3.48,7.55,16.50,1.50,2.47,18.75,65.50
germany-hungary-GbRxZ1jG,19 Jun 2024,1.35,5.18,8.71,2.10,1.67,1.03,1.23,1.72,2.82,5.02,13.50,3.99,2.09,1.42,1.16,3.48,1.95,1.08,1.01,4.15,3.75,9.55,20.50,1.80,3.18,24.00,80.00
scotland-switzerland-bNWXZsyA,19 Jun 2024,3.59,3.47,2.05,1.83,1.92,1.06,1.32,2.00,3.43,6.68,9.68,3.29,1.79,1.31,1.10,24.50,8.40,1.76,1.25,10.35,5.35,3.93,6.03,1.07,1.29,3.78,8.93
slovenia-serbia-2JRjtJcq,20 Jun 2024,3.97,3.46,1.93,1.84,1.89,1.06,1.32,1.99,3.41,6.65,9.27,3.27,1.78,1.30,1.10,28.50,9.57,1.83,1.28,10.95,5.65,3.83,5.65,1.05,1.24,3.43,7.68
denmark-england-MPqOpakS,20 Jun 2024,5.50,3.79,1.63,1.98,1.77,1.06,1.32,1.98,3.42,6.71,9.74,3.29,1.79,1.30,1.10,47.50,14.75,2.22,1.42,14.50,6.83,3.63,4.80,1.02,1.15,2.70,5.55
spain-italy-Egg3kNzc,20 Jun 2024,2.30,3.25,3.16,1.83,1.91,1.07,1.35,2.08,3.63,7.03,8.66,3.11,1.72,1.27,1.09,11.25,4.45,1.35,1.09,6.65,4.10,4.85,9.05,1.19,1.60,6.88,20.00
slovakia-ukraine-hrTmblCs,21 Jun 2024,3.69,3.31,2.05,1.95,1.79,1.07,1.38,2.17,3.87,7.64,8.36,2.93,1.66,1.24,1.07,27.25,9.05,1.73,1.23,10.50,5.30,3.83,5.98,1.06,1.27,3.90,9.45
poland-austria-YaubR1rD,21 Jun 2024,3.53,3.37,2.09,1.72,2.03,1.05,1.28,1.88,3.15,5.91,10.40,3.60,1.89,1.35,1.13,22.50,8.05,1.73,1.25,9.90,5.40,4.03,5.98,1.07,1.28,3.70,8.38
netherlands-france-lC7o20K2,21 Jun 2024,4.23,3.51,1.86,1.77,1.97,1.05,1.27,1.87,3.10,5.79,10.40,3.58,1.89,1.35,1.12,29.25,9.90,1.90,1.32,11.40,5.98,3.85,5.45,1.05,1.21,3.20,6.80
georgia-czech-republic-MBh2Gybp,22 Jun 2024,4.48,3.56,1.81,1.89,1.85,1.06,1.32,1.99,3.40,6.61,9.50,3.28,1.78,1.30,1.10,34.50,11.25,1.97,1.34,12.25,6.10,3.72,5.25,1.04,1.19,3.10,6.68
turkey-portugal-lzjYhdsk,22 Jun 2024,5.25,4.18,1.58,1.77,1.97,1.03,1.23,1.72,2.78,5.00,13.50,4.01,2.07,1.42,1.16,39.00,13.25,2.32,1.49,14.00,6.95,3.75,4.78,1.03,1.15,2.50,4.85
