HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
ukraine-iceland-KK1OaVP7,26 Mar 2024,1.62,3.83,6.12,2.08,1.74,1.07,1.35,2.13,3.85,7.57,9.30,3.22,1.75,1.27,1.09,5.54,2.75,1.14,1.02,4.88,3.40,7.60,15.00,1.43,2.34,19.00,50.00
wales-poland-bTFTAeY8,26 Mar 2024,2.72,2.95,2.97,2.21,1.67,1.13,1.58,2.79,5.68,12.23,6.34,2.43,1.45,1.15,1.04,20.00,6.31,1.39,1.12,8.75,4.03,4.24,9.25,1.12,1.47,7.57,23.00
georgia-greece-fwl3yesj,26 Mar 2024,3.37,2.96,2.44,2.19,1.68,1.12,1.56,2.73,5.57,12.14,6.53,2.45,1.47,1.15,1.04,28.00,8.75,1.55,1.13,10.50,4.66,3.73,7.73,1.09,1.33,5.77,14.40
bosnia-herzegovina-ukraine-IyiXrXS4,21 Mar 2024,3.79,3.23,2.13,2.00,1.81,1.09,1.43,2.34,4.44,9.31,7.90,2.85,1.61,1.22,1.07,27.00,9.37,1.71,1.20,11.50,5.27,3.63,6.47,1.06,1.27,4.36,10.25
greece-kazakhstan-GlKcjrO5,21 Mar 2024,1.34,4.96,10.43,2.73,1.46,1.07,1.36,2.12,3.83,7.78,9.61,3.19,1.75,1.27,1.09,3.79,2.01,1.06,1.01,3.86,3.36,11.00,19.00,1.75,3.32,35.50,101.00
israel-iceland-dSkyrirB,21 Mar 2024,2.33,3.36,3.13,1.73,2.09,1.06,1.30,1.95,3.32,6.52,10.09,3.54,1.89,1.33,1.11,10.42,4.69,1.35,1.10,7.01,3.95,4.70,9.50,1.17,1.59,6.85,18.50
poland-estonia-CA0SdUGE,21 Mar 2024,1.19,6.90,16.86,2.81,1.43,1.04,1.24,1.76,2.91,5.49,12.86,4.13,2.10,1.42,1.16,2.68,1.60,1.02,,3.77,3.78,15.00,,2.24,4.68,58.00,
wales-finland-ABiTqDDb,21 Mar 2024,1.84,3.31,5.12,2.42,1.57,1.12,1.56,2.73,5.61,13.03,6.73,2.49,1.48,1.15,1.04,9.00,3.57,1.18,1.02,5.55,3.43,6.15,15.00,1.27,1.97,14.50,48.00
georgia-luxembourg-fuJ1k2wC,21 Mar 2024,1.82,3.49,5.09,2.15,1.71,1.09,1.44,2.36,4.53,9.96,8.24,2.90,1.64,1.22,1.07,7.88,3.35,1.18,1.03,5.45,3.53,6.38,14.50,1.30,2.00,14.00,45.50
andorra-israel-x8hchzRD,21 Nov 2023,9.50,4.96,1.36,2.47,1.54,1.05,1.31,1.98,3.42,6.73,9.81,3.44,1.88,1.31,1.11,79.20,29.38,3.22,1.74,17.72,9.41,3.60,4.28,1.01,1.09,2.09,4.10
